mukey,muname,ksat_um_s,theta_s_pct,theta_fc_pct,soil_depth_cm,ksat_m_s,porosity,Sy,soil_depth_m
3396009,Occum fine sandy loam,8.0,36.8,13.7600006103516,165,8e-06,0.368,0.23039999389648397,1.65
3396010,Pootatuck fine sandy loam,18.4,36.8,12.5599998474121,165,1.8399999999999997e-05,0.368,0.24240000152587896,1.65
3396011,Rippowam fine sandy loam,8.0,36.8,13.9199996948242,165,8e-06,0.368,0.228800003051758,1.65
3396016,"Saco silt loam, frequently ponded, 0 to 2 percent slopes, frequently flooded",7.38,39.36,23.9440006256104,152,7.38e-06,0.3936,0.154159993743896,1.52
3396017,"Fluvaquents-Udifluvents complex, frequently flooded",29.7,39.1,19.6400002479553,152,2.9699999999999997e-05,0.391,0.19459999752044702,1.52
3396018,"Raypol silt loam, 0 to 3 percent slopes",4.4,40.0,18.8,165,4.4e-06,0.4,0.212,1.65
3396019,"Walpole sandy loam, 0 to 3 percent slopes",79.9999206542969,52.0,44.2399993896484,165,7.99999206542969e-05,0.52,0.07760000610351597,1.65
3396021,"Scarboro muck, 0 to 3 percent slopes",44.0,48.8,44.4,165,4.4e-05,0.488,0.043999999999999984,1.65
3396023,"Timakwa and Natchaug soils, 0 to 2 percent slopes",8.5,57.8,49.0600006103516,200,8.5e-06,0.578,0.08739999389648397,2.0
3396024,"Catden and Freetown soils, 0 to 2 percent slopes",8.0,54.4,45.2700012207031,200,8e-06,0.544,0.09129998779296898,2.0
3396025,"Ridgebury fine sandy loam, 0 to 3 percent slopes",85.0,49.3,43.35,168,8.499999999999999e-05,0.493,0.059499999999999956,1.68
3400046,"Sudbury sandy loam, 0 to 5 percent slopes",80.0,0.0,0.0,152,7.999999999999999e-05,0.0,0.0,1.52
3400086,"Agawam fine sandy loam, 0 to 3 percent slopes",8.5,39.1,13.8549993515015,165,8.5e-06,0.391,0.25245000648498506,1.65
3400087,"Agawam fine sandy loam, 3 to 8 percent slopes",8.5,39.1,13.8549993515015,165,8.5e-06,0.391,0.25245000648498506,1.65
3400088,"Agawam fine sandy loam, 8 to 15 percent slopes",8.4,38.64,13.6919993591309,165,8.4e-06,0.3864,0.249480006408691,1.65
3400089,"Ridgebury, Leicester, and Whitman soils, 0 to 8 percent slopes, extremely stony",92.0,54.04,47.5319997406006,168,9.2e-05,0.5404,0.06508000259399402,1.68
3400091,Dumps,9.5,,,165,9.499999999999999e-06,,,1.65
3400092,"Pits, quarries",0.37799998819828,,,0,3.7799998819828e-07,,,0.0
3400094,"Udorthents-Pits complex, gravelly",29.4349994659424,32.2,16.5199995100498,203,2.9434999465942398e-05,0.322,0.15680000489950202,2.03
3400095,Udorthents-Urban land complex,5.0,21.0,12.3999996185303,200,4.9999999999999996e-06,0.21,0.086000003814697,2.0
3400096,Urban land,0.335999989509583,,,15,3.3599998950958297e-07,,,0.15
3400097,"Udorthents, smoothed",8.7,36.54,21.5759993362427,200,8.7e-06,0.3654,0.14964000663757301,2.0
3400106,"Merrimac fine sandy loam, 0 to 3 percent slopes",86.0,31.82,14.62,165,8.599999999999999e-05,0.3182,0.17200000000000004,1.65
3400107,"Merrimac fine sandy loam, 3 to 8 percent slopes",86.0,31.82,14.62,165,8.599999999999999e-05,0.3182,0.17200000000000004,1.65
3400108,"Merrimac fine sandy loam, 8 to 15 percent slopes",85.0,31.45,14.45,165,8.499999999999999e-05,0.3145,0.17,1.65
3400111,"Windsor loamy sand, 0 to 3 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400112,"Windsor loamy sand, 3 to 8 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400117,"Hinckley loamy sand, 0 to 3 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400118,"Hinckley loamy sand, 3 to 15 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400119,"Hinckley loamy sand, 15 to 45 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400123,Leicester fine sandy loam,18.4,38.4,13.8399993896484,165,1.8399999999999997e-05,0.384,0.245600006103516,1.65
3400131,"Woodbridge fine sandy loam, 0 to 3 percent slopes",8.5,39.1,16.0649996757507,165,8.5e-06,0.391,0.23035000324249302,1.65
3400132,"Woodbridge fine sandy loam, 3 to 8 percent slopes",8.2,40.18,15.9079996871948,165,8.2e-06,0.4018,0.24272000312805198,1.65
3400133,"Woodbridge fine sandy loam, 8 to 15 percent slopes",8.5,39.1,16.0649996757507,165,8.5e-06,0.391,0.23035000324249302,1.65
3400134,"Woodbridge fine sandy loam, 0 to 8 percent slopes, very stony",82.0,47.56,41.82,170,8.2e-05,0.4756,0.05740000000000002,1.7
3400135,"Woodbridge fine sandy loam, 8 to 15 percent slopes, very stony",85.0,49.3,43.35,170,8.499999999999999e-05,0.493,0.059499999999999956,1.7
3400136,"Woodbridge fine sandy loam, 3 to 15 percent slopes, extremely stony",83.0,48.14,42.33,170,8.3e-05,0.4814,0.05810000000000002,1.7
3400142,"Sutton fine sandy loam, 0 to 3 percent slopes",8.5,43.35,16.6600003242493,152,8.5e-06,0.4335,0.26689999675750703,1.52
3400143,"Sutton fine sandy loam, 3 to 8 percent slopes",8.0,40.8,15.6800003051758,152,8e-06,0.408,0.25119999694824197,1.52
3400144,"Sutton fine sandy loam, 0 to 8 percent slopes, very stony",85.0,49.3,43.35,157,8.499999999999999e-05,0.493,0.059499999999999956,1.57
3400145,"Sutton fine sandy loam, 2 to 15 percent slopes, extremely stony",80.0,46.4,40.8,157,7.999999999999999e-05,0.46399999999999997,0.056000000000000015,1.57
3400152,"Gloucester gravelly sandy loam, 3 to 8 percent slopes",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400153,"Gloucester gravelly sandy loam, 8 to 15 percent slopes",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400155,"Gloucester gravelly sandy loam, 3 to 8 percent slopes, very stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400156,"Gloucester gravelly sandy loam, 8 to 15 percent slopes, very stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400157,"Gloucester gravelly sandy loam, 3 to 15 percent slopes, extremely stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400158,"Gloucester gravelly sandy loam, 15 to 35 percent slopes, extremely stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400160,"Canton and Charlton fine sandy loams, 3 to 8 percent slopes",8.5,34.25,17.3999996185303,165,8.5e-06,0.3425,0.168500003814697,1.65
3400161,"Canton and Charlton fine sandy loams, 8 to 15 percent slopes",8.5,34.25,17.3999996185303,165,8.5e-06,0.3425,0.168500003814697,1.65
3400162,"Canton and Charlton soils, 15 to 25 percent slopes",44.9,14.0,5.4949999332428,165,4.4899999999999994e-05,0.14,0.085050000667572,1.65
3400163,"Canton and Charlton fine sandy loams, 0 to 8 percent slopes, very stony",85.0,50.7,43.875,170,8.499999999999999e-05,0.507,0.06825000000000003,1.7
3400164,"Canton and Charlton fine sandy loams, 8 to 15 percent slopes, very stony",85.0,50.7,43.875,170,8.499999999999999e-05,0.507,0.06825000000000003,1.7
3400165,"Canton and Charlton fine sandy loams, 3 to 15 percent slopes, extremely stony",85.0,50.7,43.875,170,8.499999999999999e-05,0.507,0.06825000000000003,1.7
3400166,"Canton and Charlton fine sandy loams, 15 to 35 percent slopes, extremely stony",85.0,50.5,43.8,170,8.499999999999999e-05,0.505,0.06700000000000003,1.7
3400174,"Narragansett silt loam, 2 to 8 percent slopes",7.2,35.2,17.8399993896484,152,7.2e-06,0.35200000000000004,0.173600006103516,1.52
3400184,"Charlton-Chatfield complex, 0 to 15 percent slopes, very rocky",80.0,48.4,43.65,165,7.999999999999999e-05,0.484,0.0475,1.65
3400185,"Charlton-Chatfield complex, 15 to 45 percent slopes, very rocky",12.9,18.0,7.06499991416931,203,1.29e-05,0.18,0.1093500008583069,2.03
3400187,"Hollis-Chatfield-Rock outcrop complex, 3 to 15 percent slopes",18.2,0.0,0.0,203,1.82e-05,0.0,0.0,2.03
3400188,"Hollis-Chatfield-Rock outcrop complex, 15 to 45 percent slopes",18.2,0.0,0.0,203,1.82e-05,0.0,0.0,2.03
3400189,"Rock outcrop-Hollis complex, 3 to 45 percent slopes",7.0,0.0,0.0,203,7e-06,0.0,0.0,2.03
3400206,"Paxton and Montauk fine sandy loams, 3 to 8 percent slopes",8.5,38.9,15.6500000953674,165,8.5e-06,0.389,0.23249999904632598,1.65
3400207,"Paxton and Montauk fine sandy loams, 8 to 15 percent slopes",8.5,39.1,15.8249999046326,184,8.5e-06,0.391,0.23275000095367404,1.84
3400208,"Paxton and Montauk fine sandy loams, 15 to 25 percent slopes",8.5,39.1,15.8249999046326,184,8.5e-06,0.391,0.23275000095367404,1.84
3400209,"Paxton and Montauk fine sandy loams, 3 to 8 percent slopes, very stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
3400210,"Paxton and Montauk fine sandy loams, 8 to 15 percent slopes, very stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
3400211,"Paxton and Montauk fine sandy loams, 3 to 15 percent slopes, extremely stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
3400212,"Paxton and Montauk fine sandy loams, 15 to 35 percent slopes, extremely stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
3400322,"Rock outcrop-Brimfield complex, 3 to 45 percent slopes",35.2309999927878,20.9,15.2599996566772,200,3.52309999927878e-05,0.209,0.056400003433227985,2.0
3400323,"Rock outcrop-Brimfield complex, 45 to 60 percent slopes",35.2309999927878,20.9,15.2599996566772,200,3.52309999927878e-05,0.209,0.056400003433227985,2.0
3400324,"Nipmuck-Brookfield complex, 3 to 15 percent slopes, very rocky",90.0,53.1,44.1199989318848,152,8.999999999999999e-05,0.531,0.08980001068115201,1.52
3400325,"Nipmuck-Brookfield complex, 15 to 45 percent slopes, very rocky",85.0,50.15,41.8399990081787,152,8.499999999999999e-05,0.5015,0.08310000991821298,1.52
3400326,"Nipmuck-Brimfield-Rock outcrop complex, 15 to 45 percent slopes",80.0419999986887,47.55,35.4999990463257,200,8.004199999868869e-05,0.4755,0.12050000953674299,2.0
3400327,"Nipmuck-Brimfield-Rock outcrop complex, 3 to 15 percent slopes",70.062999998033,41.6,31.0799991607666,200,7.006299999803301e-05,0.41600000000000004,0.10520000839233401,2.0
3400343,"Enfield silt loam, 0 to 3 percent slopes",7.65,39.1,19.975,152,7.65e-06,0.391,0.19125,1.52
3400344,"Enfield silt loam, 3 to 8 percent slopes",7.65,39.1,19.975,152,7.65e-06,0.391,0.19125,1.52
3400349,"Ninigret fine sandy loam, 0 to 3 percent slopes",8.5,31.45,18.3600003242493,165,8.5e-06,0.3145,0.130899996757507,1.65
3400351,"Tisbury silt loam, 0 to 3 percent slopes",8.5,35.7,22.1,165,8.5e-06,0.35700000000000004,0.136,1.65
3400352,"Tisbury silt loam, 3 to 8 percent slopes",8.5,35.7,22.1,165,8.5e-06,0.35700000000000004,0.136,1.65
